geoapify_place_id,name,address,postcode,borough,latitude,longitude,website,opening_hours,category
515310f230a30ec0bf593288b43286c14940f00103f90187a941d60200000092030843686573746e7574,Chestnut,"Chestnut, Floral Street, London, WC2E 9BZ, United Kingdom",WC2E 9BZ,St Clement Danes,51.5119079,-0.1254467,,,catering.cafe
51bb96cc2dab5fbfbf59692154e868c14940f00102f901e891502100000000920313436f76656e742047617264656e204772696e64,Covent Garden Grind,"Covent Garden Grind, 42 Maiden Lane, London, WC2E 7LJ, United Kingdom",WC2E 7LJ,St Clement Danes,51.5110143,-0.1225535,,,wheelchair.yes
512321808a9933bfbf5994d519845ec14940f00103f901b4eaa2a901000000920305436f737461,Costa,"Costa, 37 Southampton Street, London, WC2E 7HG, United Kingdom",WC2E 7HG,St Clement Danes,51.5106969,-0.1218811,,Mo-Sa 06:30-20:00; Su 07:00-18:30,catering.cafe.coffee_shop
51cb91dfec20c0bfbf59bf9d44847fc14940f00103f90159329e2e03000000920309252041524142494341,% ARABICA,"% ARABICA, 5 King Street, London, WC2E 8HN, United Kingdom",WC2E 8HN,St Clement Danes,51.511704,-0.1240254,http://arabica.coffee,Mo-Fr 08:00-20:00; Sa-Su 10:00-20:00,catering.cafe
516409c61c5fd6bfbf59939c5d0883c14940f00103f901fb73fc6f0100000092030f4d617269616765204672c3a8726573,Mariage Frères,"Mariage Frères, 38 King Street, London, WC2E 8JS, United Kingdom",WC2E 8JS,St Clement Danes,51.5118113,-0.1243648,https://www.mariagefreres.com/en/store/restaurant-tea-salon-london-covent-garden-menu.html,Mo-Su 10:30-19:30; Mo-Su 12:00-19:00,wheelchair.yes
5108f8a23f5c54bfbf597ec32d3f6bc14940f00102f901e79150210000000092030a5761746368486f757365,WatchHouse,"WatchHouse, 28-29 Southampton Street, London, WC2E 7JA, United Kingdom",WC2E 7JA,St Clement Danes,51.5110845,-0.122381,,,catering.cafe.coffee_shop
51099d21664007c0bf59ee8046448cc14940f00103f9019b963ea40200000092030a4b617473757465313030,Katsute100,"Katsute100, 19-21 Long Acre, London, WC2E 9LZ, United Kingdom",WC2E 9LZ,St Clement Danes,51.5120931,-0.1252213,https://www.katsute100.com/,Mo-Sa 10:00-20:00; Su 12:00-18:00,catering.cafe.tea
5133969f0a6e5abfbf59089bf00170c14940f00103f90141f1e99c02000000920306416275656c6f,Abuelo,"Abuelo, 26 Southampton Street, London, WC2E 7RS, United Kingdom",WC2E 7RS,St Clement Danes,51.5112307,-0.1224736,https://www.abuelocafe.co.uk/,,catering.cafe
515f984c158c4ac0bf5918ad48f196c14940f00103f901da6951200100000092030d436f666665652049736c616e64,Coffee Island,"Coffee Island, 5 Upper St Martin's Lane, London, WC2H 9EF, United Kingdom",WC2H 9EF,,51.5124189,-0.127275,https://www.coffeeisland.co.uk/,Mo-Fr 07:30-20:30; Sa 09:00-20:30; Su 09:00-20:00,wheelchair.yes
518b00023164d0c0bf59e019c80e85c14940f00103f901502532250000000092030a43616e64792043616665,Candy Cafe,"Candy Cafe, 3 Macclesfield Street, London, W1D 6AU, United Kingdom",W1D 6AU,,51.5118731,-0.1313596,https://www.candycafe.co.uk/,,catering.cafe.dessert
51b6717acd61adc0bf59b7d7dd978ec14940f00103f9018db1b2270300000092030743686174696d65,Chatime,"Chatime, 4 Gerrard Street, London, W1D 5AP, United Kingdom",W1D 5AP,,51.5121641,-0.1302912,https://www.chatimeuk.com/,Mo-Su 12:00-20:00; Sa 11:00-23:00,catering.cafe.tea
51e294b9f94674bfbf59b4fbfac67cc14940f00103f901c657c12a01000000920304454c264e,EL&N,"EL&N, Covent Garden Piazza, London, WC2E 8AA, United Kingdom",WC2E 8AA,St Clement Danes,51.5116204,-0.122868,,,halal
51f6d61b107c67c1bf59db5e1ca6c7c04940f00103f90186e547280000000092030e5374204a616d6573204361666665,St James Caffe,"St James Caffe, 41 Pall Mall, London, SW1Y 5JG, United Kingdom",SW1Y 5JG,St. James's,51.5060928,-0.1359706,,,wheelchair.limited
51defafa6bc372bfbf59ef833d377ec14940f00103f901219b0f1e010000009203134372c3a86d65206465206c61204372c3aa7065,Crème de la Crêpe,"Crème de la Crêpe, Unit 29 Henrietta Street, London, WC2E 8RE, United Kingdom",WC2E 8RE,St Clement Danes,51.5116643,-0.1228449,,,catering.cafe.crepe
